_RAJ2000,_DEJ2000,SDSS,S_N,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,E_B-V_,pm
181.5553,67.7565,120623.20+674700.02,15,19.813,0.038,19.431,0.023,19.681,0.022,19.904,0.031,19.976,0.120,0.014,19.100
184.0020,68.4920,121611.15+682733.83,11,20.178,0.053,19.741,0.024,19.728,0.027,19.779,0.031,19.814,0.101,0.018,21.300
195.3252,60.2855,130128.61+601658.74,20,19.245,0.024,19.103,0.018,19.440,0.017,19.693,0.025,20.103,0.124,0.012,34.800
195.1966,60.9914,130052.25+605921.63,15,19.651,0.042,19.043,0.019,18.865,0.017,18.850,0.018,18.917,0.046,0.016,46.500
187.1789,58.4775,122833.30+583122.56,19,19.054,0.023,18.989,0.023,19.316,0.015,19.587,0.019,20.009,0.085,0.014,11.900
185.6021,58.8281,122218.55+584722.39,34,17.079,0.017,17.544,0.015,18.081,0.014,18.487,0.017,18.810,0.045,0.011,13.600
181.3951,58.5229,120551.29+582933.60,19,18.774,0.026,18.717,0.022,19.070,0.018,19.341,0.025,19.686,0.081,0.017,8.900
180.6539,58.4891,120232.72+582912.89,12,19.507,0.034,19.262,0.016,19.575,0.025,19.857,0.029,20.125,0.124,0.016,29.000
180.3367,59.7090,120132.69+594033.79,31,17.130,0.013,17.420,0.028,17.974,0.021,18.353,0.019,18.714,0.037,0.024,35.690
194.3273,61.6142,125706.73+613507.95,28,18.192,0.019,18.197,0.016,18.569,0.018,18.875,0.021,19.244,0.059,0.019,25.500
190.9258,62.2047,124356.24+621145.29,22,18.834,0.029,18.687,0.025,19.018,0.019,19.369,0.026,19.638,0.092,0.012,37.200
191.0918,63.0095,124427.45+630057.65,16,18.785,0.023,19.123,0.020,19.641,0.022,19.984,0.038,20.196,0.134,0.013,0.900
188.3402,63.1064,123314.21+630521.18,16,19.074,0.023,18.880,0.018,19.151,0.018,19.332,0.021,19.702,0.081,0.011,30.300
184.5602,66.1873,121814.50+661407.48,11,20.840,0.080,20.010,0.020,20.000,0.030,20.020,0.040,20.080,0.120,0.016,0.570
242.6213,59.2501,161016.19+591232.26,15,19.633,0.038,18.909,0.022,18.782,0.024,18.650,0.017,18.676,0.041,0.021,93.420
244.0941,59.5287,161616.94+593115.32,11,20.974,0.077,19.800,0.020,19.756,0.021,19.726,0.027,19.627,0.071,0.017,2.900
224.7097,60.4646,145838.56+602802.21,33,17.880,0.020,17.617,0.016,17.828,0.016,18.042,0.021,18.323,0.027,0.010,26.800
222.6349,61.6294,145046.05+613809.09,17,19.124,0.021,19.035,0.024,19.377,0.021,19.662,0.027,20.070,0.100,0.011,18.500
211.5260,66.4679,140611.25+662806.51,26,18.077,0.025,18.407,0.021,18.887,0.015,19.228,0.020,19.610,0.085,0.039,12.310
214.4915,52.4035,141800.79+522439.81,12,19.798,0.041,19.486,0.025,19.595,0.022,19.777,0.028,20.146,0.101,0.008,56.200
214.3741,52.8602,141724.11+525227.66,13,19.803,0.031,19.380,0.016,19.278,0.021,19.313,0.020,19.404,0.054,0.009,71.900
